[INFO] [1775785857.859818957] [motor_controller]: Motor Controller Node started
[INFO] [1775786274.977889888] [motor_controller]: cmd_vel -> linear=-0.68, angular=-0.38, left=-0.06, right=-0.21
[INFO] [1775786275.081827789] [motor_controller]: cmd_vel -> linear=-0.79, angular=-0.41, left=-0.08, right=-0.24
[INFO] [1775786275.275173607] [motor_controller]: cmd_vel -> linear=-0.76, angular=-0.43, left=-0.07, right=-0.24
[INFO] [1775786275.484864399] [motor_controller]: cmd_vel -> linear=-0.54, angular=-0.43, left=0.00, right=-0.19
[INFO] [1775786275.577563463] [motor_controller]: cmd_vel -> linear=-0.75, angular=-0.44, left=-0.06, right=-0.24
[INFO] [1775786275.679786355] [motor_controller]: cmd_vel -> linear=-1.02, angular=-0.44, left=-0.12, right=-0.29
[INFO] [1775786275.875193776] [motor_controller]: cmd_vel -> linear=-1.01, angular=-0.46, left=-0.11, right=-0.29
[INFO] [1775786276.076912508] [motor_controller]: cmd_vel -> linear=-0.73, angular=-0.45, left=-0.06, right=-0.24
[INFO] [1775786276.181314060] [motor_controller]: cmd_vel -> linear=-0.63, angular=-0.54, left=0.00, right=-0.23
[INFO] [1775786276.276329376] [motor_controller]: cmd_vel -> linear=-0.66, angular=-0.54, left=0.00, right=-0.24
[INFO] [1775786276.477196567] [motor_controller]: cmd_vel -> linear=-0.73, angular=-0.58, left=0.00, right=-0.26
[INFO] [1775786276.684354661] [motor_controller]: cmd_vel -> linear=-0.49, angular=-0.58, left=0.00, right=-0.21
[INFO] [1775786276.775205234] [motor_controller]: cmd_vel -> linear=-0.63, angular=-0.55, left=0.00, right=-0.24
[INFO] [1775786276.880978330] [motor_controller]: cmd_vel -> linear=-0.64, angular=-0.51, left=0.00, right=-0.23
[INFO] [1775786277.082339060] [motor_controller]: cmd_vel -> linear=-0.69, angular=-0.49, left=0.00, right=-0.24
[INFO] [1775786277.281421371] [motor_controller]: cmd_vel -> linear=-0.45, angular=-0.59, left=0.00, right=-0.21
[INFO] [1775786277.378650958] [motor_controller]: cmd_vel -> linear=-0.64, angular=-0.57, left=0.00, right=-0.24
[INFO] [1775786277.581661568] [motor_controller]: cmd_vel -> linear=-0.67, angular=-0.60, left=0.00, right=-0.25
[INFO] [1775786277.672078916] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.56, left=0.00, right=-0.21
[INFO] [1775786277.884142017] [motor_controller]: cmd_vel -> linear=-0.62, angular=-0.56, left=0.00, right=-0.24
[INFO] [1775786277.991899994] [motor_controller]: cmd_vel -> linear=-0.66, angular=-0.56, left=0.00, right=-0.24
[INFO] [1775786278.189845410] [motor_controller]: cmd_vel -> linear=-0.55, angular=-0.54, left=0.00, right=-0.22
[INFO] [1775786278.287873169] [motor_controller]: cmd_vel -> linear=-0.58, angular=-0.54, left=0.00, right=-0.22
[INFO] [1775786278.478871177] [motor_controller]: cmd_vel -> linear=-0.46, angular=-0.56, left=0.00, right=-0.20
[INFO] [1775786278.579305597] [motor_controller]: cmd_vel -> linear=-0.53, angular=-0.59, left=0.00, right=-0.22
[INFO] [1775786278.781262127] [motor_controller]: cmd_vel -> linear=-0.73, angular=-0.59, left=0.00, right=-0.26
[INFO] [1775786278.879892722] [motor_controller]: cmd_vel -> linear=-0.69, angular=-0.63, left=0.00, right=-0.26
[INFO] [1775786279.076492019] [motor_controller]: cmd_vel -> linear=-0.65, angular=-0.64, left=0.00, right=-0.26
[INFO] [1775786279.182931489] [motor_controller]: cmd_vel -> linear=-1.11, angular=-0.60, left=-0.10, right=-0.34
[INFO] [1775786279.382926601] [motor_controller]: cmd_vel -> linear=-1.04, angular=-0.62, left=-0.08, right=-0.33
[INFO] [1775786279.479767687] [motor_controller]: cmd_vel -> linear=-0.90, angular=-0.64, left=-0.05, right=-0.31
[INFO] [1775786279.688025824] [motor_controller]: cmd_vel -> linear=-0.84, angular=-0.62, left=0.00, right=-0.29
[INFO] [1775786279.777114257] [motor_controller]: cmd_vel -> linear=-0.77, angular=-0.64, left=0.00, right=-0.28
[INFO] [1775786279.984666243] [motor_controller]: cmd_vel -> linear=-0.75, angular=-0.64, left=0.00, right=-0.28
[INFO] [1775786280.085740517] [motor_controller]: cmd_vel -> linear=-0.75, angular=-0.52, left=0.00, right=-0.25
[INFO] [1775786280.285113570] [motor_controller]: cmd_vel -> linear=-0.81, angular=-0.55, left=-0.05, right=-0.27
[INFO] [1775786280.377132464] [motor_controller]: cmd_vel -> linear=-1.08, angular=-0.61, left=-0.09, right=-0.34
[INFO] [1775786280.577083742] [motor_controller]: cmd_vel -> linear=-1.06, angular=-0.59, left=-0.09, right=-0.33
[INFO] [1775786280.677280753] [motor_controller]: cmd_vel -> linear=-0.98, angular=-0.56, left=-0.08, right=-0.31
[INFO] [1775786280.876279082] [motor_controller]: cmd_vel -> linear=-0.87, angular=-0.58, left=-0.06, right=-0.29
[INFO] [1775786280.979152144] [motor_controller]: cmd_vel -> linear=-0.79, angular=-0.60, left=0.00, right=-0.28
[INFO] [1775786281.187720190] [motor_controller]: cmd_vel -> linear=-0.72, angular=-0.57, left=0.00, right=-0.26
[INFO] [1775786281.283175898] [motor_controller]: cmd_vel -> linear=-0.77, angular=-0.61, left=0.00, right=-0.28
[INFO] [1775786281.490150991] [motor_controller]: cmd_vel -> linear=-0.77, angular=-0.53, left=0.00, right=-0.26
[INFO] [1775786281.583864653] [motor_controller]: cmd_vel -> linear=-1.09, angular=-0.52, left=-0.11, right=-0.32
[INFO] [1775786281.777015025] [motor_controller]: cmd_vel -> linear=-0.84, angular=-0.52, left=-0.06, right=-0.27
[INFO] [1775786281.882978992] [motor_controller]: cmd_vel -> linear=-0.71, angular=-0.58, left=0.00, right=-0.26
[INFO] [1775786282.087922649] [motor_controller]: cmd_vel -> linear=-0.74, angular=-0.60, left=0.00, right=-0.27
[INFO] [1775786282.181305735] [motor_controller]: cmd_vel -> linear=-0.82, angular=-0.59, left=0.00, right=-0.28
[INFO] [1775786282.380194156] [motor_controller]: cmd_vel -> linear=-0.84, angular=-0.64, left=0.00, right=-0.30
[INFO] [1775786282.478228562] [motor_controller]: cmd_vel -> linear=-0.75, angular=-0.61, left=0.00, right=-0.27
[INFO] [1775786282.697156830] [motor_controller]: cmd_vel -> linear=-0.57, angular=-0.55, left=0.00, right=-0.23
[INFO] [1775786282.780700049] [motor_controller]: cmd_vel -> linear=-0.54, angular=-0.57, left=0.00, right=-0.22
[INFO] [1775786282.981423257] [motor_controller]: cmd_vel -> linear=-0.51, angular=-0.58, left=0.00, right=-0.22
[INFO] [1775786283.080477484] [motor_controller]: cmd_vel -> linear=-0.94, angular=-0.58, left=-0.07, right=-0.30
[INFO] [1775786283.283287481] [motor_controller]: cmd_vel -> linear=-0.90, angular=-0.58, left=-0.06, right=-0.29
[INFO] [1775786283.378272576] [motor_controller]: cmd_vel -> linear=-0.95, angular=-0.56, left=-0.08, right=-0.30
[INFO] [1775786283.579389194] [motor_controller]: cmd_vel -> linear=-0.82, angular=-0.57, left=-0.05, right=-0.28
[INFO] [1775786283.684589194] [motor_controller]: cmd_vel -> linear=-0.94, angular=-0.57, left=-0.08, right=-0.30
[INFO] [1775786283.875408980] [motor_controller]: cmd_vel -> linear=-0.88, angular=-0.50, left=-0.08, right=-0.27
[INFO] [1775786283.975494193] [motor_controller]: cmd_vel -> linear=-0.86, angular=-0.58, left=-0.06, right=-0.29
[INFO] [1775786284.181716320] [motor_controller]: cmd_vel -> linear=-0.87, angular=-0.58, left=-0.06, right=-0.29
[INFO] [1775786284.286784912] [motor_controller]: cmd_vel -> linear=-0.83, angular=-0.68, left=0.00, right=-0.30
